,公司名,公司领域,公司人数,学历,最低工资,最高工资,工作年限,岗位职责,岗位要求
306,北京墨迹风云科技股份有限公司,工具,"['150', '500']",不限,25,35,"(3,5)",1、负责对短期或中长期数据预报数据运用机器学习或深度学习进行后订正工作，包括系统设计、建模设计和实现等2、负责对气象领域和人工智能算法结合的算法研究工作,1、对气象领域有一定了解，有志向在气象领域和人工智能结合的方向上进行深入研究2、掌握常用的机器学习算法，如GBDT、XGBOOST、SVM，掌握深度学习基本理论和思想，掌握深度学习常用网络，对网络具有深刻的理解3、较强的编码能力，至少掌握一门脚本语言，如python，熟悉大数据平台相关知识4、3年以上算法研究经验
307,北京万维盈创科技发展有限公司,"移动互联网,硬件","['150', '500']",本科,8,15,"(0,0)","1.负责参与完成智能仪表设备研发算法资料的搜集及整理；
2.参与完成智能仪表设备研发算法的学习及验证开发工作；
3.负责与产品经理沟通汇报算法开发进展及问题；
4.负责与桌面开发工程师沟通并进行培训，将算法转换为软件实现。
","1.本科及以上学历，计算机、电子、通信、数学等相关专业；
2.掌握一种及以上编程语言，可以验证实现算法开发及效果对比；
3.熟练掌握英语，能够阅读国外专业书刊；
4.具备计算机相关知识，熟练使用MATLAB、LABVIEW等；
5.工作认真踏实，有较好的团队协作精神和较强的产品质量意识，能够承受工作压力；
6.有工业设备研发、大数据处理算法经验者优先考虑。
福利待遇"
308,建信金融科技有限责任公司,"金融,软件开发",['2000'],本科,20,40,"(5,10)",,
309,嵩云（北京）信息服务有限公司,移动互联网,"['50', '150']",本科,20,40,"(3,5)",,"1.负责建设、维护、优化基于Hadoop生态技术的大数据集群和计算框架；
2.通过提供平台化的计算框架，支撑海量数据分析、数据挖掘、机器学习工作；
3.负责数据产品平台的设计、开发；
4.关注开源技术动态，预研、评测大数据生态新技术，引进新的技术框架，满足业务需求并不断提高工作效率及质量；
岗位要求"
310,北京智铀科技有限公司,数据服务,"['50', '150']",硕士,25,50,"(3,5)",,
311,上海淇毓信息科技有限公司,金融,"['500', '2000']",本科,20,40,"(3,5)","1. 深入理解业务，参与金融数据策略分析及开发上线；
2.构建机器学习模型，规则推理系统，图论挖掘等方法；
3.参与基础数据收集整理及特征工程建设。
","1.计算机，数学，统计学等相关专业本科以上学历，3年以上算法工作经验；
2.具有扎实的数据结构及算法基础，有机器学习/数据挖掘/自然语言处理等方面的实际应用开发经验；
3.熟练掌握Python、R，熟悉Hadoop/Spark/Hive/Storm等分布式计算框架；
4.有深度学习应用经验者优先；
5.有大数据风控经验者优先。"
312,北京蓝海讯通科技股份有限公司,"信息安全,企业服务","['150', '500']",本科,15,25,"(0,0)","1）熟练掌握NLP自然语言压缩相关算法，熟悉K-Means聚类、相似度计算、Jieba分词、word2Vec、TF-IDF、bert、CNN、LSTM等，具备实际场景使用经验者优先考虑；
2）熟悉指标数据算法，如AR、MR、ARIMA、Isolation Forest、AutoSARIMA，并具备异常检测算法的使用经验；
3）熟悉知识库和知识图谱算法及框架，如bert、AutoEncoder、attentoin、深度神经网络、图模型等；
4）上述1-3条中，要求精通NLP自然语言相关算法、指标异常检测相关算法、知识图谱三个中其中一个；
5）有知识图谱相关实践经验的优先考虑。
","1）本科及以上学历，计算机相关专业；
2）工作态度端正，责任心强；
3）善于思考，能根据实际工作情况提出有效建议，不断改进工作方法；
4）能够融入团队，协作能力强。"
313,中国平安人寿保险股份有限公司,金融,['2000'],本科,15,30,"(3,5)",,
314,平安科技（深圳）有限公司,金融,['2000'],硕士,25,50,"(3,5)","N识别算法。 
【语音识别】
1、负责语音识别声学模型的算法研究，模型的训练以及模型参数优化；
2、对语音识别的结果进行分析以及改进，提升准确率；
3、紧跟业界语音识别算法的研究方向。
【语音合成】
1、负责语音合成系统前端文本分析与韵律分析，包括文本预处理、分词、词性、情感分析等；
2、参与语音合成算法研究和系统引擎开发、计算加速、效率优化等；
3、探索端到端语音合成系统。
【语音信号】
1、负责语音前端信号处理算法研发和实现；
2、负责深度学习语音增强方案研发和实现；
3、优化远场和噪声环境下语音识别识别率。
任职要求
【声纹识别】
1、有声纹相关工作经验和相关方向作品； 
2、熟悉C或C++开发、kaldi等开源工具。
【语音识别】
1、熟悉语音识别的原理框架以及HMM，GMM，TDNN，LSTM，Viterbi等相关算法在语音识别中的应用；
2、熟悉kaldi、TensorFlow等至少一种深度学习框架，掌握c++/python至少一种开发语言。
【语音合成】
1、熟悉linux开发环境、CNN、RNN等深度学习算法、TensorFlowHTS/Merlin等社区开源工具中的一种及以上，掌握Python/C/C++中至少一种编程语言；
2、具备中英文学术论文调研能力。
【语音信号】
1、有语音信号处理实际算法和工程开发经验，如语音增强、端点检测，回声消除、麦克风阵列等技术其中一种或多种；
2、 深入理解信号处理的方法，熟悉语音信号特征提取，熟悉C++，Matlab和Python 语言(三选一)，熟悉tensorflow，kaldi，htk等优先。

以上职位",硕士及以上学历，计算机、声学、信号、语音、模式识别等相关专业，具备较强的英文文章阅读能力，有过国际会议或主流期刊发表文章经验优先。
315,北京嘀嘀无限科技发展有限公司,汽车丨出行,['2000'],本科,30,60,"(5,10)","1.  优化滴滴最核心的地图出行数据，对海量的用户出行数据和地理信息数据进行分析建模，提升出行数据质量，改善滴滴全国用户每天的实际出行体验。
  2.  参与基础数据体系建设，包括POI图谱化、知识库构建、POI特征体系建设等工作，研究NLP技术、深度学习等模型对短文本语义的深度理解和挖掘。
  3.  负责核心机器学习、深度学习等算法的技术攻关，探索创新地图数据挖掘与推荐应用的模式，探索国内外新技术（RNN，CNN等）在用户出行领域的应用和落地。
  4.  研究分析国内外业界的地图数据现状与特点，利用用户行为和地理空间数据，挖掘探索更深层次的地图数据价值。
","1.  熟练掌握常用的数据挖掘、机器学习、深度学习算法，并有产品化经验，具备良好的算法选型能力，以及机器学习优化经验；
  2.  熟练掌握深度学习技术，包括但不限于CNN，RNN，LSTM，迁移学习，强化学习等等;
  3.  具备深厚的运筹学、统计学、数理统计、概率论等数学理论功底；
  4.  有非常强的业务模型抽象能力，可以将业务模型抽象成为数据模型建模；
  5.  熟练掌握C\C++、Java、Python等至少2种编程语言，有一定的Hadoop等海量数据处理经验；
  6.  沟通能力强，有Mentor经历者优先。"
